archivo,pagina,variable_detectada,tipo,categoria,palabras_clave_encontradas,porcentajes_en_pagina,evidencia
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,14,Pensamiento estratégico,Competencia transversal,Pensamiento estratégico,"pensamiento estratégico, estratégico","42%, 38%, 18%, 2%",Liderazgo ¿Cuál es la habilidade más importante en un CEO? Pensamiento estratégico Comunicación Efectiva  Conocimiento Técnico 42% 38% 18% 2%
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,14,Conocimiento técnico,Competencia técnica,Conocimiento técnico,conocimiento técnico,"42%, 38%, 18%, 2%",Liderazgo ¿Cuál es la habilidade más importante en un CEO? Pensamiento estratégico Comunicación Efectiva  Conocimiento Técnico 42% 38% 18% 2%
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,15,Liderazgo,Competencia transversal,Liderazgo y gestión,"líder, líderes, ceo","25%, 13%, 7%, 55%",¿En qué tema te gustaría que el CEO de tu empresa se involucrara más? 25% 13% 7% 55%Día a día del equipo Relación con otros líderes ESG DE&I
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,15,ESG y sostenibilidad,Tendencia laboral,Sostenibilidad,esg,"25%, 13%, 7%, 55%",¿En qué tema te gustaría que el CEO de tu empresa se involucrara más? 25% 13% 7% 55%Día a día del equipo Relación con otros líderes ESG DE&I
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,15,DE&I y diversidad,Tendencia laboral,Diversidad e inclusión,de&i,"25%, 13%, 7%, 55%",¿En qué tema te gustaría que el CEO de tu empresa se involucrara más? 25% 13% 7% 55%Día a día del equipo Relación con otros líderes ESG DE&I
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,16,Liderazgo,Competencia transversal,Liderazgo y gestión,ceo,"6%, 8%, 13%, 74%",v v v v6%8% 13%74% Pensamiento  estratégico Capacidad  de delegar Gestión  de conflictos  Cambio  de procesos ¿Cuál es la característica más importante en un CEO?
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,16,Pensamiento estratégico,Competencia transversal,Pensamiento estratégico,estratégico,"6%, 8%, 13%, 74%",v v v v6%8% 13%74% Pensamiento  estratégico Capacidad  de delegar Gestión  de conflictos  Cambio  de procesos ¿Cuál es la característica más importante en un CEO?
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,17,Liderazgo,Competencia transversal,Liderazgo y gestión,ceo,"22%, 42%, 24%, 13%",Más enfocada en datos Más trasparente Más humana  Más auténtica 22% 42% 24% 13% ¿Cómo te gustaría que fuera la interacción con tu CEO?
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,18,Liderazgo,Competencia transversal,Liderazgo y gestión,ceo,"49%, 25%, 18%, 8%",¿Qué tipo de diversidad te gustaría ver más en los puestos de CEO? 49% 25% 18% 8% LGBTQ+ Mas jóvenes Mas mujeres Mas etnias
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,18,DE&I y diversidad,Tendencia laboral,Diversidad e inclusión,diversidad,"49%, 25%, 18%, 8%",¿Qué tipo de diversidad te gustaría ver más en los puestos de CEO? 49% 25% 18% 8% LGBTQ+ Mas jóvenes Mas mujeres Mas etnias
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,19,Liderazgo,Competencia transversal,Liderazgo y gestión,liderazgo,,"Visión y  dirección Comunicación,  transparencia y feedback Liderazgo auténtico y simplicidad Reconocimiento,  y desarallo Visible dentro y fuera de la organización  Empatía y  apoyo Cercanía como  habilidad estratégica  Equidad y  responsabilidad social Posibilidades y Reflexiones ""Leadership is not about being in charge. Leadership is about taking care of those in your charge.“ Simon Sinek"
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,19,Comunicación efectiva,Competencia transversal,Comunicación,"feedback, transparencia",,"Visión y  dirección Comunicación,  transparencia y feedback Liderazgo auténtico y simplicidad Reconocimiento,  y desarallo Visible dentro y fuera de la organización  Empatía y  apoyo Cercanía como  habilidad estratégica  Equidad y  responsabilidad social Posibilidades y Reflexiones ""Leadership is not about being in charge. Leadership is about taking care of those in your charge.“ Simon Sinek"
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,19,ESG y sostenibilidad,Tendencia laboral,Sostenibilidad,responsabilidad social,,"Visión y  dirección Comunicación,  transparencia y feedback Liderazgo auténtico y simplicidad Reconocimiento,  y desarallo Visible dentro y fuera de la organización  Empatía y  apoyo Cercanía como  habilidad estratégica  Equidad y  responsabilidad social Posibilidades y Reflexiones ""Leadership is not about being in charge. Leadership is about taking care of those in your charge.“ Simon Sinek"
HAYS - WHAT EMPLOYEES EXPECT FROM THEIR CEO (1).pdf,19,DE&I y diversidad,Tendencia laboral,Diversidad e inclusión,equidad,,"Visión y  dirección Comunicación,  transparencia y feedback Liderazgo auténtico y simplicidad Reconocimiento,  y desarallo Visible dentro y fuera de la organización  Empatía y  apoyo Cercanía como  habilidad estratégica  Equidad y  responsabilidad social Posibilidades y Reflexiones ""Leadership is not about being in charge. Leadership is about taking care of those in your charge.“ Simon Sinek"
